seed,round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1009,2,static_topn,mp-1023939,1.54752,0.035993,1.5539,0.00638,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1009,3,static_topn,mp-2815,1.460048,0.067713,1.4648999999999996,0.004852,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1009,1,iterative,mp-1018809,1.456244,0.069192,1.3361,0.120144,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,1,3
1009,2,iterative,mp-1023939,1.484127,0.238615,1.5539,0.069773,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1009,3,iterative,mp-2815,1.394626,0.058273,1.4648999999999996,0.070274,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,3,3
1010,1,random,mp-1025874,1.51893,0.06338,1.5093,0.00963,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1010,2,random,mp-1023939,1.542308,0.037773,1.5539,0.011592,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1010,3,random,mp-1018809,1.43637,0.057455,1.3361,0.10027,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,3,3
1010,1,static_topn,mp-1025874,1.51893,0.06338,1.5093,0.00963,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1010,2,static_topn,mp-1023939,1.535126,0.058252,1.5539,0.018774,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1010,3,static_topn,mp-2815,1.449061,0.05692,1.4648999999999996,0.015839,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1010,1,iterative,mp-1025874,1.51893,0.06338,1.5093,0.00963,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
